for,while,if,then,else,switch,case,do,Buggy
0,0,0,0,0,0,0,0,0
4,0,6,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,1
1,0,2,2,0,0,0,0,1
0,0,1,0,1,0,0,0,1
4,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
7,1,12,0,3,0,0,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,20,0,6,0,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2,0,5,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,2,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
0,0,8,0,9,0,0,0,1
0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
16,0,21,0,2,0,9,0,1
0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
1,0,2,0,0,0,0,0,0
1,0,2,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,1
2,0,4,0,0,0,0,0,0
2,0,2,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,7,0,0
0,0,0,0,0,0,0,0,0
2,0,2,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
3,0,5,0,2,0,0,0,0
2,0,4,0,2,0,0,0,0
1,0,0,0,0,0,0,0,1
0,0,2,0,0,0,0,0,1
7,2,21,1,1,1,2,1,1
12,6,73,1,24,2,1,2,1
0,0,2,0,1,0,3,0,1
0,0,10,0,10,0,0,0,0
0,0,0,0,0,0,0,10,0
2,0,3,0,1,0,0,0,0
0,0,10,0,7,0,0,0,0
0,0,0,0,0,0,0,0,0
3,3,7,0,5,0,5,1,0
